,Name,POS,Age,HT,WT,Exp,College,team
4,Charles Omenihu94,DE,22,"6' 5""",280 lbs,2,Texas,Texans
5,Ira Savage-Lewis96,DE,24,"6' 3""",290 lbs,2,Baylor,Texans
6,Carlos Watkins91,DE,26,"6' 3""",297 lbs,4,Clemson,Texans
7,J.J. Watt99,DE,31,"6' 5""",288 lbs,10,Wisconsin,Texans
8,Auzoyah Alufohai,DT,--,"6' 4""",320 lbs,R,West Georgia,Texans
9,Ross Blacklock90,DT,21,"6' 4""",305 lbs,R,TCU,Texans
10,Tim Jernigan93,DT,27,"6' 2""",295 lbs,7,Florida State,Texans
11,Tyrell Adams50,LB,28,"6' 2""",230 lbs,4,West Georgia,Texans
12,Davin Bellamy49,LB,25,"6' 5""",259 lbs,1,Georgia,Texans
13,Dylan Cole51,LB,25,"6' 0""",237 lbs,4,Missouri State,Texans
14,Zach Cunningham41,LB,25,"6' 3""",238 lbs,4,Vanderbilt,Texans
15,Duke Ejiofor53,LB,25,"6' 3""",275 lbs,3,Wake Forest,Texans
16,Nate Hall48,LB,24,"6' 2""",231 lbs,1,Northwestern,Texans
17,Jan Johnson,LB,--,"6' 2""",231 lbs,R,Penn State,Texans
18,Jamir Jones,LB,--,"6' 3""",255 lbs,R,Notre Dame,Texans
19,Peter Kalambayi58,LB,24,"6' 3""",254 lbs,3,Stanford,Texans
20,Chris Landrum42,LB,27,"6' 2""",245 lbs,5,Jacksonville State,Texans
21,Jacob Martin54,LB,24,"6' 2""",242 lbs,3,Temple,Texans
22,Benardrick McKinney55,LB,27,"6' 4""",257 lbs,6,Mississippi State,Texans
23,Whitney Mercilus59,LB,29,"6' 4""",258 lbs,9,Illinois,Texans
24,Brennan Scarlett57,LB,26,"6' 4""",263 lbs,5,Stanford,Texans
25,Cornell Armstrong30,CB,24,"6' 0""",185 lbs,3,Southern Miss,Texans
26,Anthony Chesley43,CB,24,"6' 0""",190 lbs,1,Coastal Carolina,Texans
27,Gareon Conley22,CB,24,"6' 0""",190 lbs,4,Ohio State,Texans
28,Keion Crossen35,CB,24,"5' 10""",185 lbs,3,Western Carolina,Texans
29,Phillip Gaines29,CB,29,"6' 0""",193 lbs,7,Rice,Texans
30,Vernon Hargreaves III28,CB,24,"5' 10""",204 lbs,5,Florida,Texans
31,Lonnie Johnson Jr.32,CB,24,"6' 2""",213 lbs,2,Kentucky,Texans
32,John Reid29,CB,23,"5' 10""",181 lbs,R,Penn State,Texans
33,Bradley Roby21,CB,28,"5' 11""",194 lbs,7,Ohio State,Texans
34,Shalom Luani42,S,25,"6' 0""",202 lbs,3,Washington State,Texans
35,A.J. Moore Jr.33,S,24,"5' 11""",200 lbs,3,Ole Miss,Texans
36,Eric Murray22,S,26,"5' 11""",199 lbs,5,Minnesota,Texans
37,Jonathan Owens36,S,24,"5' 11""",210 lbs,2,Missouri Western,Texans
38,Justin Reid20,S,23,"6' 1""",203 lbs,3,Stanford,Texans
39,Michael Thomas31,S,30,"5' 10""",195 lbs,7,Stanford,Texans
40,Jaylen Watkins27,S,28,"5' 11""",194 lbs,6,Florida,Texans
0,Denico Autry96,DE,29,"6' 5""",285 lbs,7,Mississippi State,Colts
1,Ben Banogu52,DE,24,"6' 3""",252 lbs,2,TCU,Colts
2,Kameron Cline92,DE,--,"6' 4""",270 lbs,R,South Dakota,Colts
3,Kendall Coleman73,DE,--,"6' 3""",253 lbs,R,Syracuse,Colts
4,Gerri Green95,DE,24,"6' 4""",250 lbs,1,Mississippi State,Colts
5,Justin Houston50,DE,31,"6' 3""",270 lbs,10,Georgia,Colts
6,Iseoluwapo Jegede79,DE,25,"6' 5""",273 lbs,2,Valdosta State,Colts
7,Tyquan Lewis94,DE,25,"6' 3""",277 lbs,3,Ohio State,Colts
8,Al-Quadin Muhammad97,DE,25,"6' 4""",250 lbs,4,Miami (FL),Colts
9,Kemoko Turay57,DE,24,"6' 5""",248 lbs,3,Rutgers,Colts
10,Chris Williams66,DE,--,"6' 2""",302 lbs,R,Wagner,Colts
11,DeForest Buckner99,DT,26,"6' 7""",295 lbs,5,Oregon,Colts
12,Sheldon Day91,DT,25,"6' 1""",285 lbs,5,Notre Dame,Colts
13,Grover Stewart90,DT,26,"6' 4""",315 lbs,4,Albany State (GA),Colts
14,Robert Windsor93,DT,23,"6' 4""",285 lbs,R,Penn State,Colts
15,Matthew Adams49,LB,24,"6' 0""",229 lbs,3,Houston,Colts
16,Zaire Franklin44,LB,23,"6' 0""",235 lbs,3,Syracuse,Colts
17,Jordan Glasgow59,LB,23,"6' 1""",226 lbs,R,Michigan,Colts
18,Darius Leonard53,LB,24,"6' 2""",230 lbs,3,South Carolina State,Colts
19,Skai Moore55,LB,25,"6' 2""",225 lbs,2,South Carolina,Colts
20,Bobby Okereke58,LB,23,"6' 1""",235 lbs,2,Stanford,Colts
21,E.J. Speed45,LB,24,"6' 3""",224 lbs,2,Tarleton State,Colts
22,Anthony Walker54,LB,24,"6' 1""",230 lbs,4,Northwestern,Colts
23,Brandon Wellington56,LB,--,"6' 0""",226 lbs,R,Washington,Colts
24,T.J. Carrie38,CB,29,"6' 0""",204 lbs,7,Ohio,Colts
25,Kenny Moore II23,CB,24,"5' 9""",190 lbs,4,Valdosta State,Colts
26,Picasso Nelson Jr.43,CB,24,"5' 10""",195 lbs,1,Southern Miss,Colts
27,Lafayette Pitts40,CB,27,"5' 11""",195 lbs,3,Pittsburgh,Colts
28,Jackson Porter36,CB,25,"6' 1""",193 lbs,1,Massachusetts,Colts
29,Travis Reed48,CB,23,"6' 2""",185 lbs,R,South Alabama,Colts
30,Xavier Rhodes27,CB,29,"6' 1""",218 lbs,8,Florida State,Colts
31,Isaiah Rodgers34,CB,--,"5' 10""",170 lbs,R,Massachusetts,Colts
32,Marvell Tell III39,CB,23,"6' 2""",195 lbs,2,USC,Colts
33,Rock Ya-Sin26,CB,23,"6' 0""",190 lbs,2,Temple,Colts
34,Julian Blackmon32,S,21,"6' 1""",204 lbs,R,Utah,Colts
35,Malik Hooker29,S,24,"6' 1""",214 lbs,4,Ohio State,Colts
36,Rolan Milligan42,S,25,"5' 10""",200 lbs,2,Toledo,Colts
37,George Odum30,S,26,"6' 1""",202 lbs,3,Central Arkansas,Colts
38,Donald Rutledge Jr.47,S,--,"6' 1""",210 lbs,R,Georgia Southern,Colts
39,Khari Willis37,S,23,"5' 11""",213 lbs,2,Michigan State,Colts
0,Rodney Gunter95,DE,28,"6' 5""",305 lbs,6,Delaware State,Jaguars
1,Chuck Harris96,DE,22,"6' 4""",265 lbs,1,Buffalo,Jaguars
2,Cassius Marsh Sr.54,DE,27,"6' 4""",254 lbs,7,UCLA,Jaguars
3,Lerentee McCray55,DE,29,"6' 3""",249 lbs,8,Florida,Jaguars
4,Yannick Ngakoue91,DE,25,"6' 2""",246 lbs,5,Maryland,Jaguars
5,Dawuane Smoot94,DE,25,"6' 3""",264 lbs,4,Illinois,Jaguars
6,Taven Bryan90,DT,24,"6' 5""",291 lbs,3,Florida,Jaguars
7,Doug Costin59,DT,22,"6' 2""",295 lbs,R,Miami (OH),Jaguars
8,Carl Davis79,DT,28,"6' 5""",320 lbs,6,Iowa,Jaguars
9,Davon Hamilton52,DT,23,"6' 4""",327 lbs,R,Ohio State,Jaguars
10,Abry Jones95,DT,28,"6' 4""",318 lbs,8,Georgia,Jaguars
11,Brian Price92,DT,25,"6' 3""",322 lbs,3,UTSA,Jaguars
12,Dontavius Russell98,DT,24,"6' 3""",320 lbs,2,Auburn,Jaguars
13,Al Woods97,DT,33,"6' 4""",330 lbs,11,LSU,Jaguars
14,Dakota Allen53,LB,24,"6' 1""",232 lbs,2,Texas Tech,Jaguars
15,Josh Allen41,LB,22,"6' 5""",262 lbs,2,Kentucky,Jaguars
16,K'Lavon Chaisson45,LB,20,"6' 4""",250 lbs,R,LSU,Jaguars
17,Nate Evans57,LB,--,"6' 1""",241 lbs,R,UCF,Jaguars
18,Joe Giles-Harris43,LB,23,"6' 2""",240 lbs,1,Duke,Jaguars
19,Myles Jack44,LB,24,"6' 1""",244 lbs,5,UCLA,Jaguars
20,Leon Jacobs48,LB,24,"6' 2""",246 lbs,3,Wisconsin,Jaguars
21,Shaquille Quarterman50,LB,22,"6' 1""",241 lbs,R,Miami (FL),Jaguars
22,Joe Schobert47,LB,26,"6' 1""",245 lbs,5,Wisconsin,Jaguars
23,Quincy Williams56,LB,23,"5' 11""",225 lbs,2,Murray State,Jaguars
24,Luq Barcoo3,CB,--,"6' 1""",175 lbs,R,San Diego State,Jaguars
25,Chris Claybrooks7,CB,21,"5' 9""",177 lbs,R,Memphis,Jaguars
26,D.J. Hayden25,CB,29,"5' 11""",190 lbs,8,Houston,Jaguars
27,Amari Henderson,CB,22,"6' 1""",180 lbs,R,Wake Forest,Jaguars
28,CJ Henderson21,CB,21,"6' 1""",202 lbs,R,Florida,Jaguars
29,Tre Herndon37,CB,24,"5' 11""",185 lbs,3,Vanderbilt,Jaguars
30,Rashaan Melvin22,CB,30,"6' 2""",194 lbs,8,Northern Illinois,Jaguars
31,Parry Nickerson35,CB,25,"5' 10""",182 lbs,3,Tulane,Jaguars
32,Josiah Scott24,CB,21,"5' 10""",171 lbs,R,Michigan State,Jaguars
33,Brandon Watson40,CB,24,"5' 11""",198 lbs,2,Michigan,Jaguars
34,Kobe Williams31,CB,--,"5' 10""",174 lbs,R,Arizona State,Jaguars
35,Ronnie Harrison36,S,23,"6' 3""",207 lbs,3,Alabama,Jaguars
36,Josh Jones26,S,25,"6' 2""",220 lbs,4,North Carolina State,Jaguars
37,Doug Middleton39,S,26,"6' 0""",210 lbs,3,Appalachian State,Jaguars
38,J.R. Reed30,S,24,"6' 1""",194 lbs,R,Georgia,Jaguars
39,Daniel Thomas20,S,21,"5' 11""",209 lbs,R,Auburn,Jaguars
40,Jarrod Wilson26,S,26,"6' 2""",210 lbs,5,Michigan,Jaguars
41,Andrew Wingard42,S,23,"6' 0""",209 lbs,2,Wyoming,Jaguars
0,Vic Beasley Jr.44,DE,27,"6' 3""",246 lbs,6,Clemson,Titans
1,Amani Bledsoe95,DE,22,"6' 4""",280 lbs,1,Oklahoma,Titans
2,Matt Dickerson92,DE,24,"6' 5""",292 lbs,3,UCLA,Titans
3,Jack Crawford95,DT,31,"6' 5""",274 lbs,9,Penn State,Titans
4,Joey Ivie96,DT,25,"6' 3""",301 lbs,2,Florida,Titans
5,DaQuan Jones90,DT,28,"6' 4""",322 lbs,7,Penn State,Titans
6,Isaiah Mack97,DT,24,"6' 1""",299 lbs,2,Chattanooga,Titans
7,Larrell Murchison92,DT,23,"6' 2""",291 lbs,R,North Carolina State,Titans
8,Jeffery Simmons98,DT,22,"6' 4""",305 lbs,2,Mississippi State,Titans
9,Kobe Smith95,DT,--,"6' 2""",300 lbs,R,South Carolina,Titans
10,Teair Tart,DT,--,"6' 3""",290 lbs,R,Florida International,Titans
11,Jayon Brown55,LB,25,"6' 0""",226 lbs,4,UCLA,Titans
12,Kamalei Correa44,LB,26,"6' 3""",241 lbs,5,Boise State,Titans
13,Nick Dzubnar48,LB,28,"6' 1""",240 lbs,6,Cal Poly,Titans
14,Rashaan Evans54,LB,24,"6' 2""",232 lbs,3,Alabama,Titans
15,Cale Garrett,LB,--,"6' 3""",230 lbs,R,Missouri,Titans
16,Reggie Gilbert93,LB,27,"6' 4""",260 lbs,3,Arizona,Titans
17,Nigel Harris57,LB,25,"6' 2""",225 lbs,2,South Florida,Titans
18,Khaylan Kearse-Thomas,LB,--,"6' 1""",224 lbs,R,Arizona State,Titans
19,Harold Landry III58,LB,23,"6' 2""",252 lbs,3,Boston College,Titans
20,David Long51,LB,23,"5' 11""",227 lbs,2,West Virginia,Titans
21,Derick Roberson50,LB,24,"6' 3""",250 lbs,2,Sam Houston State,Titans
22,Josh Smith45,LB,23,"6' 4""",240 lbs,1,Vanderbilt,Titans
23,D'Andre Walker42,LB,23,"6' 2""",251 lbs,2,Georgia,Titans
24,Jordan Williams40,LB,27,"6' 4""",262 lbs,3,Tennessee,Titans
25,Malcolm Butler21,CB,30,"5' 11""",190 lbs,7,West Alabama,Titans
26,Dane Cruikshank29,CB,25,"6' 1""",209 lbs,3,Arizona,Titans
27,Kenneth Durden38,CB,27,"6' 1""",180 lbs,2,Youngstown State,Titans
28,Kristian Fulton1,CB,21,"6' 0""",200 lbs,R,LSU,Titans
29,Adoree' Jackson25,CB,24,"5' 11""",185 lbs,4,USC,Titans
30,Chris Jackson3,CB,22,"6' 0""",186 lbs,R,Marshall,Titans
31,Joshua Kalu46,CB,24,"6' 0""",203 lbs,2,Nebraska,Titans
32,Chris Milton30,CB,27,"5' 11""",190 lbs,5,Georgia Tech,Titans
33,Kareem Orr20,CB,23,"5' 11""",195 lbs,1,Chattanooga,Titans
34,Tye Smith23,CB,26,"6' 0""",195 lbs,5,Towson,Titans
35,Kevin Byard31,S,26,"5' 11""",212 lbs,5,Middle Tennessee,Titans
36,Ibraheim Campbell,S,27,"5' 11""",210 lbs,6,Northwestern,Titans
37,Amani Hooker37,S,21,"5' 11""",210 lbs,2,Iowa,Titans
38,Kenny Vaccaro24,S,29,"6' 0""",214 lbs,8,Texas,Titans
0,Shelby Harris96,NT,28,"6' 2""",290 lbs,6,Illinois State,Broncos
1,Joel Heath93,NT,26,"6' 6""",302 lbs,4,Michigan State,Broncos
2,Kyle Peko77,NT,26,"6' 1""",305 lbs,3,Oregon State,Broncos
3,Mike Purcell98,NT,29,"6' 3""",328 lbs,5,Wyoming,Broncos
4,Christian Covington,DE,26,"6' 2""",300 lbs,6,Rice,Broncos
5,Dre'Mont Jones93,DE,23,"6' 3""",281 lbs,2,Ohio State,Broncos
6,Derrek Tuszka91,DE,--,"6' 5""",246 lbs,R,North Dakota State,Broncos
7,DeMarcus Walker57,DE,25,"6' 4""",280 lbs,4,Florida State,Broncos
8,McTelvin Agim3,DT,22,"6' 3""",300 lbs,R,Arkansas,Broncos
9,Jurrell Casey99,DT,30,"6' 1""",305 lbs,10,USC,Broncos
10,Jonathan Harris92,DT,23,"6' 5""",290 lbs,2,Lindenwood,Broncos
11,Jeremiah Attaochu97,LB,27,"6' 3""",252 lbs,7,Georgia Tech,Broncos
12,Malik Carney53,LB,24,"6' 3""",231 lbs,1,North Carolina,Broncos
13,Bradley Chubb55,LB,23,"6' 4""",275 lbs,3,North Carolina State,Broncos
14,Tre' Crawford49,LB,23,"6' 3""",235 lbs,1,UAB,Broncos
15,Todd Davis51,LB,27,"6' 1""",230 lbs,7,Sacramento State,Broncos
16,Justin Hollins52,LB,24,"6' 5""",248 lbs,2,Oregon,Broncos
17,Josey Jewell47,LB,25,"6' 2""",236 lbs,3,Iowa,Broncos
18,Alexander Johnson45,LB,28,"6' 2""",255 lbs,3,Tennessee,Broncos
19,Joe Jones43,LB,26,"6' 0""",231 lbs,4,Northwestern,Broncos
20,Von Miller58,LB,31,"6' 3""",250 lbs,10,Texas A&M,Broncos
21,Malik Reed59,LB,23,"6' 2""",235 lbs,2,Nevada,Broncos
22,Justin Strnad23,LB,23,"6' 3""",235 lbs,R,Wake Forest,Broncos
23,Josh Watson54,LB,23,"6' 2""",240 lbs,2,Colorado State,Broncos
24,Essang Bassey,CB,21,"5' 9""",190 lbs,R,Wake Forest,Broncos
25,De'Vante Bausby41,CB,27,"6' 2""",190 lbs,4,Pittsburg State,Broncos
26,A.J. Bouye21,CB,28,"6' 0""",191 lbs,8,UCF,Broncos
27,Bryce Callahan29,CB,28,"5' 9""",188 lbs,6,Rice,Broncos
28,Duke Dawson Jr.20,CB,24,"5' 10""",198 lbs,3,Florida,Broncos
29,Davontae Harris27,CB,25,"5' 11""",200 lbs,3,Illinois State,Broncos
30,Alijah Holder49,CB,24,"6' 2""",188 lbs,1,Stanford,Broncos
31,Kareem Jackson22,CB,32,"5' 10""",183 lbs,11,Alabama,Broncos
32,Michael Ojemudia11,CB,22,"6' 0""",200 lbs,R,Iowa,Broncos
33,Shakial Taylor38,CB,23,"6' 0""",181 lbs,2,Kansas,Broncos
34,Isaac Yiadom26,CB,24,"6' 1""",190 lbs,3,Boston College,Broncos
35,Douglas Coleman III,S,--,"6' 1""",200 lbs,R,Texas Tech,Broncos
36,P.J. Locke37,S,23,"5' 11""",210 lbs,1,Texas,Broncos
37,Trey Marshall36,S,24,"6' 0""",207 lbs,2,Florida State,Broncos
38,Justin Simmons31,S,26,"6' 2""",202 lbs,5,Boston College,Broncos
39,Kahani Smith24,S,--,"6' 1""",190 lbs,R,UTEP,Broncos
0,Taco Charlton96,DE,25,"6' 6""",270 lbs,3,Michigan,Chiefs
1,Frank Clark55,DE,26,"6' 3""",260 lbs,6,Michigan,Chiefs
2,Mike Danna4,DE,22,"6' 2""",261 lbs,R,Michigan,Chiefs
3,Demone Harris52,DE,24,"6' 4""",272 lbs,2,Buffalo,Chiefs
4,Tanoh Kpassagnon92,DE,25,"6' 7""",289 lbs,4,Villanova,Chiefs
5,Alex Okafor97,DE,29,"6' 4""",261 lbs,8,Texas,Chiefs
6,Breeland Speaks57,DE,24,"6' 3""",285 lbs,3,Ole Miss,Chiefs
7,Tim Ward79,DE,22,"6' 6""",255 lbs,1,Old Dominion,Chiefs
8,Tershawn Wharton,DE,--,"6' 4""",255 lbs,R,Missouri S & T,Chiefs
9,Braxton Hoyett96,DT,24,"6' 3""",310 lbs,1,Mississippi State,Chiefs
10,Chris Jones95,DT,25,"6' 6""",310 lbs,5,Mississippi State,Chiefs
11,Devaroe Lawrence93,DT,27,"6' 2""",295 lbs,2,Auburn,Chiefs
12,Derrick Nnadi91,DT,23,"6' 1""",312 lbs,3,Florida State,Chiefs
13,Mike Pennel64,DT,28,"6' 4""",332 lbs,7,Colorado State-Pueblo,Chiefs
14,Khalen Saunders99,DT,23,"6' 0""",324 lbs,2,Western Illinois,Chiefs
15,Omari Cobb,LB,22,"6' 4""",223 lbs,R,Marshall,Chiefs
16,Willie Gay Jr.6,LB,22,"6' 2""",240 lbs,R,Mississippi State,Chiefs
17,Darius Harris47,LB,24,"6' 2""",238 lbs,1,Middle Tennessee,Chiefs
18,Anthony Hitchens53,LB,27,"6' 0""",235 lbs,7,Iowa,Chiefs
19,Ben Niemann56,LB,24,"6' 2""",235 lbs,3,Iowa,Chiefs
20,Dorian O'Daniel44,LB,25,"6' 1""",220 lbs,3,Clemson,Chiefs
21,Emmanuel Smith43,LB,24,"6' 2""",240 lbs,1,Vanderbilt,Chiefs
22,Damien Wilson54,LB,26,"6' 0""",245 lbs,6,Minnesota,Chiefs
23,Bryan Wright11,LB,--,"6' 3""",238 lbs,R,Cincinnati,Chiefs
24,Hakeem Bailey,CB,--,"6' 0""",188 lbs,R,West Virginia,Chiefs
25,Bashaud Breeland21,CB,28,"5' 11""",195 lbs,7,Clemson,Chiefs
26,Alex Brown30,CB,23,"5' 9""",183 lbs,1,South Carolina State,Chiefs
27,Javaris Davis13,CB,23,"5' 10""",180 lbs,R,Auburn,Chiefs
28,Rashad Fenton27,CB,23,"5' 11""",188 lbs,2,South Carolina,Chiefs
29,Antonio Hamilton20,CB,27,"6' 0""",195 lbs,5,South Carolina State,Chiefs
30,Lavert Hill,CB,21,"5' 11""",182 lbs,R,Michigan,Chiefs
31,Jalen Julius26,CB,23,"5' 10""",192 lbs,R,Ole Miss,Chiefs
32,Bopete Keyes26,CB,22,"6' 1""",200 lbs,R,Tulane,Chiefs
33,Chris Lammons38,CB,24,"5' 10""",190 lbs,2,South Carolina,Chiefs
34,Charvarius Ward35,CB,23,"6' 1""",198 lbs,3,Middle Tennessee,Chiefs
35,Rodney Clemons,S,23,"6' 0""",205 lbs,R,SMU,Chiefs
36,Tyrann Mathieu32,S,27,"5' 9""",190 lbs,8,LSU,Chiefs
37,L'Jarius Sneed1,S,23,"6' 1""",193 lbs,R,Louisiana Tech,Chiefs
38,Daniel Sorensen49,S,30,"6' 2""",208 lbs,7,BYU,Chiefs
39,Juan Thornhill22,S,24,"6' 0""",205 lbs,2,Virginia,Chiefs
40,Armani Watts23,S,24,"5' 11""",205 lbs,3,Texas A&M,Chiefs
0,Ade Aruna79,DE,26,"6' 5""",263 lbs,2,Tulane,Raiders
1,Maxx Crosby98,DE,22,"6' 5""",255 lbs,2,Eastern Michigan,Raiders
2,Kendall Donnerson57,DE,24,"6' 3""",249 lbs,1,Southeast Missouri State,Raiders
3,Clelin Ferrell96,DE,22,"6' 4""",265 lbs,2,Clemson,Raiders
4,Arden Key99,DE,23,"6' 5""",240 lbs,3,LSU,Raiders
5,Carl Nassib94,DE,27,"6' 7""",275 lbs,5,Penn State,Raiders
6,Jeremiah Valoaga94,DE,25,"6' 6""",275 lbs,2,UNLV,Raiders
7,Kendal Vickers64,DE,24,"6' 3""",295 lbs,1,Tennessee,Raiders
8,Maliek Collins96,DT,25,"6' 2""",310 lbs,5,Nebraska,Raiders
9,P.J. Hall92,DT,25,"6' 0""",305 lbs,3,Sam Houston State,Raiders
10,Johnathan Hankins90,DT,28,"6' 3""",340 lbs,8,Ohio State,Raiders
11,Maurice Hurst73,DT,24,"6' 1""",291 lbs,3,Michigan,Raiders
12,Mike Panasiuk,DT,--,"6' 4""",300 lbs,R,Michigan State,Raiders
13,Daniel Ross93,DT,27,"6' 4""",300 lbs,4,--,Raiders
14,Te'von Coney56,LB,22,"6' 1""",231 lbs,1,Notre Dame,Raiders
15,Ukeme Eligwe54,LB,26,"6' 2""",239 lbs,3,Georgia Southern,Raiders
16,Nick Kwiatkoski44,LB,26,"6' 2""",242 lbs,5,West Virginia,Raiders
17,Marquel Lee52,LB,24,"6' 3""",235 lbs,4,Wake Forest,Raiders
18,Cory Littleton58,LB,26,"6' 3""",228 lbs,5,Washington,Raiders
19,Derrick Moncrief24,LB,26,"6' 2""",220 lbs,1,Oklahoma State,Raiders
20,Nicholas Morrow50,LB,24,"6' 0""",225 lbs,4,--,Raiders
21,Quentin Poling51,LB,25,"6' 1""",235 lbs,1,Ohio,Raiders
22,Nick Usher6,LB,25,"6' 3""",216 lbs,1,UTEP,Raiders
23,Javin White,LB,--,"6' 3""",205 lbs,R,UNLV,Raiders
24,Kyle Wilber58,LB,31,"6' 4""",240 lbs,9,Wake Forest,Raiders
25,Damon Arnette3,CB,23,"6' 0""",195 lbs,R,Ohio State,Raiders
26,Jordan Brown39,CB,24,"6' 0""",197 lbs,1,South Dakota State,Raiders
27,Ken Crawley32,CB,27,"6' 1""",180 lbs,5,Colorado,Raiders
28,Madre Harper,CB,--,"6' 2""",190 lbs,R,Southern Illinois,Raiders
29,Isaiah Johnson31,CB,24,"6' 2""",210 lbs,2,Houston,Raiders
30,D.J. Killings40,CB,24,"5' 10""",195 lbs,2,UCF,Raiders
31,Nevin Lawson26,CB,29,"5' 10""",190 lbs,7,Utah State,Raiders
32,Dylan Mabin37,CB,22,"6' 1""",195 lbs,1,Fordham,Raiders
33,Trayvon Mullen27,CB,22,"6' 2""",200 lbs,2,Clemson,Raiders
34,Nick Nelson23,CB,23,"5' 11""",205 lbs,2,Wisconsin,Raiders
35,Keisean Nixon22,CB,22,"5' 10""",200 lbs,2,South Carolina,Raiders
36,Amik Robertson21,CB,21,"5' 9""",183 lbs,R,Louisiana Tech,Raiders
37,Johnathan Abram24,S,23,"6' 0""",205 lbs,2,Mississippi State,Raiders
38,Erik Harris25,S,30,"6' 2""",220 lbs,5,California (PA),Raiders
39,Jeff Heath38,S,28,"6' 1""",212 lbs,8,Saginaw Valley,Raiders
40,Lamarcus Joyner29,S,29,"5' 8""",185 lbs,7,Florida State,Raiders
41,Dallin Leavitt32,S,25,"5' 10""",195 lbs,2,Utah State,Raiders
42,Tanner Muse19,S,23,"6' 2""",230 lbs,R,Clemson,Raiders
43,Damarious Randall23,S,27,"5' 11""",196 lbs,6,Arizona State,Raiders
0,Joey Bosa97,DE,24,"6' 5""",280 lbs,5,Ohio State,Chargers
1,Joe Gaziano,DE,23,"6' 4""",275 lbs,R,Northwestern,Chargers
2,Melvin Ingram III54,DE,31,"6' 2""",247 lbs,9,South Carolina,Chargers
3,Jessie Lemonier,DE,--,"6' 3""",240 lbs,R,Liberty,Chargers
4,Isaac Rochell98,DE,25,"6' 4""",280 lbs,3,Notre Dame,Chargers
5,Cortez Broughton91,DT,23,"6' 2""",291 lbs,2,Cincinnati,Chargers
6,Breiden Fehoko,DT,23,"6' 2""",291 lbs,R,LSU,Chargers
7,PJ Johnson94,DT,23,"6' 4""",334 lbs,1,Arizona,Chargers
8,Justin Jones93,DT,23,"6' 3""",309 lbs,3,North Carolina State,Chargers
9,Linval Joseph95,DT,31,"6' 4""",329 lbs,11,East Carolina,Chargers
10,T.J. Smith,DT,23,"6' 3""",293 lbs,R,Arkansas,Chargers
11,Jerry Tillery99,DT,23,"6' 6""",295 lbs,2,Notre Dame,Chargers
12,Asmar Bilal,LB,--,"6' 2""",227 lbs,R,Notre Dame,Chargers
13,Cole Christiansen,LB,--,"6' 2""",225 lbs,R,Army,Chargers
14,Emeke Egbule51,LB,23,"6' 2""",245 lbs,2,Houston,Chargers
15,Romeo Finley,LB,--,"6' 1""",218 lbs,R,Miami (FL),Chargers
16,Malik Jefferson46,LB,23,"6' 2""",240 lbs,3,Texas,Chargers
17,Kenneth Murray56,LB,21,"6' 2""",234 lbs,R,Oklahoma,Chargers
18,Uchenna Nwosu42,LB,23,"6' 2""",251 lbs,3,USC,Chargers
19,Denzel Perryman52,LB,27,"5' 11""",240 lbs,6,Miami (FL),Chargers
20,Drue Tranquill49,LB,24,"6' 2""",228 lbs,2,Notre Dame,Chargers
21,Nick Vigil59,LB,26,"6' 2""",235 lbs,5,Utah State,Chargers
22,Kyzir White44,LB,24,"6' 2""",218 lbs,3,West Virginia,Chargers
23,John Brannon III,CB,--,"6' 2""",195 lbs,R,Western Carolina,Chargers
24,Tevaughn Campbell37,CB,26,"6' 0""",200 lbs,1,U Regina ca,Chargers
25,Michael Davis43,CB,25,"6' 2""",195 lbs,4,BYU,Chargers
26,Brandon Facyson28,CB,25,"6' 2""",197 lbs,3,Virginia Tech,Chargers
27,Chris Harris Jr.25,CB,30,"5' 10""",199 lbs,10,Kansas,Chargers
28,Casey Hayward Jr.26,CB,30,"5' 11""",192 lbs,9,Vanderbilt,Chargers
29,Desmond King II20,CB,25,"5' 10""",200 lbs,4,Iowa,Chargers
30,Kevin McGill,CB,--,"6' 2""",200 lbs,R,Eastern Michigan,Chargers
31,Quenton Meeks29,CB,23,"6' 1""",209 lbs,2,Stanford,Chargers
32,Donte Vaughn,CB,--,"6' 2""",212 lbs,R,Notre Dame,Chargers
33,Nasir Adderley24,S,22,"6' 0""",195 lbs,2,Delaware,Chargers
34,Alohi Gilman32,S,22,"5' 11""",202 lbs,R,Notre Dame,Chargers
35,Derwin James33,S,23,"6' 2""",215 lbs,3,Florida State,Chargers
36,Rayshawn Jenkins23,S,26,"6' 2""",220 lbs,4,Miami (FL),Chargers
37,Roderic Teamer36,S,22,"5' 11""",187 lbs,2,Tulane,Chargers
0,Bradlee Anae51,DE,22,"6' 3""",257 lbs,R,Utah,Cowboys
1,Dorance Armstrong92,DE,22,"6' 4""",262 lbs,3,Kansas,Cowboys
2,Ron'Dell Carter5,DE,--,"6' 3""",269 lbs,R,James Madison,Cowboys
3,Tyrone Crawford98,DE,30,"6' 4""",285 lbs,9,Boise State,Cowboys
4,LaDarius Hamilton2,DE,--,"6' 3""",260 lbs,R,North Texas,Cowboys
5,Joe Jackson56,DE,23,"6' 4""",285 lbs,2,Miami (FL),Cowboys
6,Jalen Jelks96,DE,23,"6' 5""",260 lbs,2,Oregon,Cowboys
7,DeMarcus Lawrence90,DE,28,"6' 3""",265 lbs,7,Boise State,Cowboys
8,Garrett Marino,DE,--,"6' 2""",290 lbs,R,UAB,Cowboys
